food_code,food_name,primarysource,secondarysource,Primary food group,food_group_nin,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g
A018,"Wheat flour, refined (Triticum aestivum)",ifct2017,ukfct,,Cereals and millets,1472,351.81,74.27,10.36,0.76,1.79,2.76
A019,"Wheat flour, atta (Triticum aestivum)",ifct2017,ukfct,,Cereals and millets,1340,320.26,64.17,10.57,1.53,1.8,11.36
A020,"Wheat, whole (Triticum aestivum)",ifct2017,,,Cereals and millets,1347,321.93,64.72,10.59,1.47,1.77,11.23
A021,"Wheat, bulgur (Triticum aestivum)",ifct2017,ukfct,,Cereals and millets,1430,341.77,69.06,10.84,1.45,1.2,8.81
A022,"Wheat, semolina (Triticum aestivum)",ifct2017,,,Cereals and millets,1396,333.64,68.43,11.38,0.74,1.65,9.72
A023,"Wheat, vermicelli (Triticum aestivum)",ifct2017,,,Cereals and millets,1392,332.69,70.39,9.7,0.45,1.68,9.28
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",ifct2017,,,Cereals and millets,1423,340.1,71.42,10.37,0.49,2.14,9.55
A025,Foxtail millet (Italian millet),ifct2004,,,Cereals and millets,1384.9,331,60.9,12.3,4.3,0,8
A027,Proso millet (Panivaragu),ifct2004,,,Cereals and millets,1426.74,341,70.4,12.5,1.1,0,2.2
A028,"Rice, parboiled, handpounded",ifct2004,,,Cereals and millets,1460.22,349,77.4,8.5,0.6,0,0
A029,"Rice, raw, handpounded",ifct2004,,,Cereals and millets,1447.66,346,76.7,7.5,1,0,0.6
A030,"Rice, bran",ifct2004,,,Cereals and millets,1644.31,393,48.4,13.5,16.2,0,4.3
A031,Barnyard millet (Sanwa millet),ifct2004,,,Cereals and millets,1284.49,307,65.5,6.2,2.2,0,9.8
A032,"Wheat, germ",ifct2004,,,Cereals and millets,1661.05,397,53.3,29.2,7.4,0,1.4
A035,Bamboo seeds,ifct2004,,,Cereals and millets,1535.53,367,75.9,13.1,1.2,0,0.9
A036,Banti,ifct2004,,,Cereals and millets,1133.86,271,74.7,8.3,4.3,0,0
A037,Buckwheat,ifct2004,,,Cereals and millets,1351.43,323,65.1,10.3,2.4,0,8.6
A038,Chenopodium album seeds,ifct2004,,,Cereals and millets,0,0,0,14.4,7.3,0,0
A039,Cowage seed flour,ifct2004,,,Cereals and millets,1665.23,398,55.6,28.2,7,0,2.2
A040,Daincha seeds,ifct2004,,,Cereals and millets,1368.17,327,45.1,28.1,3.8,0,8.6
A041,Job's tears,ifct2004,,,Cereals and millets,1581.55,378,63.4,17.5,6,0,0.5
A042,Oatmeal,ifct2004,,,Cereals and millets,1564.82,374,62.8,13.6,7.6,0,3.5
A043,Kittul flour,ifct2004,,,Cereals and millets,1418.38,339,81.7,2.4,0.3,0,0
A044,Lotus seed,ifct2004,,,Cereals and millets,1447.66,346,64,17.2,2.4,0,2.6
A045,Makhana,ifct2004,,,Cereals and millets,1451.85,347,76.9,9.7,0.1,0,0
A046,Rajkeera seeds,ifct2004,,,Cereals and millets,1522.98,364,62.7,16.5,5.3,0,2.7
A047,Water lily seeds,ifct2004,,,Cereals and millets,1443.48,345,75.6,8.3,1,0,4.2
A501,"Breakfast cereal, crunchy clusters type, without nuts, unfortified",ukfct,,,,1687,399,71,7.2,11.6,25.3,7.2
A502,"Couscous, plain, raw",ukfct,,,,1549,364,79.2,12,2.1,2.3,3.7
A503,"Flour, corn",ukfct,,,,1508,354,92,0.6,0.7,0,0
A504,"Flour, gram",ukfct,,,,1498,353,57,22.7,5.4,2.3,10.1
A505,"Flour, rice",ukfct,,,,1531,366,80.1,6.4,0.8,0,0
A507,"Pasta, white, dried, raw",ukfct,,,,1461,343,75.6,11.3,1.6,2.1,0
A508,"Porridge oats, unfortified",ukfct,,,,1614,381,70.7,10.9,8.1,0.3,7.8
A509,BLACK RICE,usda,,,,1556.45,372,79.1,11.6,3.49,2.33,4.7
A510,CRACKED WHEAT,usda,,,,1464.4,350,75,12.5,1.25,0,12.5
A512,"SWEET SUNNAH, WHOLE BLACK SEEDS NIGELLA SATIVA",usda,,,,1673.6,400,50,16.67,33.33,0,0
A513,"ALMOND FLOUR, ALMOND",usda,,,,2389.06,571,21.43,21.43,50,7.14,14.3
A514,"Buckwheat, groats",ukfct,,,,1522,364,84.9,8.1,1.5,0.4,0
B001,"Bengal gram, dal (Cicer arietinum)",ifct2017,,,Grain legumes,1377,329.1,46.72,21.55,5.31,1.03,15.15
B002,"Bengal gram, whole (Cicer arietinum)",ifct2017,,,Grain legumes,1201,287.04,39.56,18.77,5.11,0.99,25.22
B003,"Black gram, dal (Phaseolus mungo)",ifct2017,,,Grain legumes,1356,324.08,51,23.06,1.69,0.84,11.93
B004,"Black gram, whole (Phaseolus mungo)",ifct2017,ukfct,,Grain legumes,1219,291.34,43.99,21.97,1.58,0.45,20.41
B005,"Cowpea, brown (Vigna catjang)",ifct2017,,,Grain legumes,1340,320.26,54.62,20.36,1.15,1.6,11.54
B006,"Cowpea, white (Vigna catjang)",ifct2017,,,Grain legumes,1340,320.26,53.77,21.25,1.14,1.18,11.7
B007,"Field bean, black (Phaseolus vulgaris)",ifct2017,,,Grain legumes,1155,276.05,43.46,19.93,0.92,1.15,23.4
B008,"Field bean, brown (Phaseolus vulgaris)",ifct2017,,,Grain legumes,1184,282.98,45.24,19.9,0.98,1.17,22.4
B009,"Field bean, white (Phaseolus vulgaris)",ifct2017,,,Grain legumes,1173,280.35,44.53,19.84,0.94,1.07,22.99
B010,"Green gram, dal (Vigna radiata)",ifct2017,,,Grain legumes,1363,325.76,52.59,23.88,1.35,0.95,9.37
B011,"Green gram, whole (Vigna radiata)",ifct2017,,,Grain legumes,1229,293.73,46.13,22.53,1.14,0.54,17.04
B012,"Horse gram, whole (Dolicus biflorus)",ifct2017,,,Grain legumes,1379,329.58,57.24,21.73,0.62,0.35,7.88
B013,Lentil dal (Lens culinaris),ifct2017,,,Grain legumes,1349,322.41,52.53,24.35,0.75,1.95,10.43
B014,"Lentil whole, brown (Lens culinaris)",ifct2017,ukfct,,Grain legumes,1251,298.99,48.47,22.49,0.64,1.63,16.82
B015,"Lentil whole, yellowish (Lens culinaris)",ifct2017,ukfct,,Grain legumes,1246,297.79,47.91,22.87,0.61,1.5,16.66
B016,Moth bean (Vigna aconitifolia),ifct2017,,,Grain legumes,1291,308.55,52.09,19.75,1.76,1.36,15.12
B017,"Peas, dry (Pisum sativum)",ifct2017,ukfct,,Grain legumes,1269,303.29,48.93,20.43,1.89,2.03,17.01
B018,"Rajmah, black (Phaseolus vulgaris)",ifct2017,,,Grain legumes,1247,298.03,49.59,19.01,1.62,2.02,17.74
B019,"Rajmah, brown (Phaseolus vulgaris)",ifct2017,,,Grain legumes,1245,297.56,48.83,19.5,1.68,2.27,16.95
B020,"Rajmah, red (Phaseolus vulgaris)",ifct2017,ukfct,,Grain legumes,1252,299.23,48.61,19.91,1.77,1.52,16.57
B021,"Red gram, dal (Cajanus cajan)",ifct2017,,,Grain legumes,1384,330.78,55.23,21.7,1.56,2.08,9.06
B022,"Red gram, whole (Cajanus cajan)",ifct2017,,,Grain legumes,1146,273.89,42.48,20.47,1.38,1.3,22.84
B023,Ricebean (Vigna umbellata),ifct2017,,,Grain legumes,1265,302.34,51.26,19.97,0.74,1.33,13.37
B024,"Soya bean, brown (Glycine max)",ifct2017,ukfct,,Grain legumes,1596,381.44,12.79,35.58,19.82,2.51,21.55
B025,"Soya bean, white (Glycine max)",ifct2017,ukfct,,Grain legumes,1579,377.38,10.16,37.8,19.42,2.2,22.63
B026,"Bengal gram, roasted",ifct2004,,,Grain legumes,1543.9,369,58.1,22.5,5.2,0,1
B027,"Field bean, dry",ifct2004,,,Grain legumes,1451.85,347,60.1,24.9,0.8,0,1.4
B029,"Khesari, dhal",ifct2004,,,Grain legumes,1443.48,345,56.6,28.2,0.6,0,2.3
B030,Peas roasted,ifct2004,,,Grain legumes,1422.56,340,58.8,22.9,1.4,0,4.4
B031,Goa beans,ifct2004,,,Grain legumes,0,0,0,32.7,18.4,0,7.2
B032,Malmandi,ifct2004,,,Grain legumes,0,0,0,26.1,0,0,0
B033,Sutari,ifct2004,,,Grain legumes,1389.09,332,60.9,21.5,0.3,0,4.2
B500,"Beans, chick peas, Kabuli, whole, dried, raw",ukfct,,,,1355,320,49.6,21.3,5.4,2.6,0
B501,"Beansprouts, mung, boiled in unsalted water",ukfct,,,,104,25,2.8,2.5,0.5,1.4,0
B503,"Flour, soya",ukfct,,,,1711,409,18.7,34.3,22.4,6.4,18
B504,"Peanut butter, smooth",ukfct,,,,2514,607,13.1,22.8,51.8,6.7,6.6
B505,"Peanuts, dry roasted",ukfct,,,,2444,590,10.3,25.7,49.8,3.8,7.6
B506,"Tofu, soya bean, steamed",ukfct,,,,304,73,0.7,8.1,4.2,0.3,0
B507,BLACK BEANS,usda,,,,230.12,55,15.8,3.94,0.79,0,5.5
B508,"Soybeans, mature seeds, raw",usda,,,,1870,446,30.2,36.5,19.9,7.33,9.3
B509,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",usda,,,,1580,378,63,20.5,6.04,10.7,12.2
B511,ROASTED CHICKPEAS,usda,,,,1196.62,286,60.71,17.86,7.14,3.57,21.4
C001,Agathi leaves (Sesbania grandiflora),ifct2017,,,Green leafy vegetables,295,70.51,5.21,8.01,1.35,0.23,8.6
C002,"Amaranth leaves, green (Amaranthus gangeticus)",ifct2017,,,Green leafy vegetables,128,30.59,2.28,3.29,0.65,0.32,4.41
C003,"Amaranth leaves, red (Amaranthus gangeticus)",ifct2017,,,Green leafy vegetables,140,33.46,2.37,3.93,0.63,0.28,4.91
C004,"Amaranth leaves, red and green mix (Amaranthus gangeticus)",ifct2017,,,Green leafy vegetables,132,31.55,2.87,3.09,0.53,0.15,4.6
C005,"Amaranth spined, leaves, green (Amaranthus spinosus)",ifct2017,,,Green leafy vegetables,110,26.29,1.61,3.54,0.36,0.14,5.1
C006,"Amaranth spined, leaves, red and green mix (Amaranthus spinosus)",ifct2017,,,Green leafy vegetables,99,23.66,1.45,2.8,0.34,0.13,5.57
C007,Basella leaves (Basella alba),ifct2017,,,Green leafy vegetables,82,19.6,2.01,1.57,0.45,0.02,2.21
C008,Bathua leaves (Chenopodium album),ifct2017,,,Green leafy vegetables,116,27.72,2.56,2.5,0.44,0.52,4.01
C009,Beet greens (Beta vulgaris),ifct2017,,,Green leafy vegetables,145,34.66,3.86,2.38,0.75,0.13,3.64
C010,"Betel leaves, big (kolkata) (Piper betle)",ifct2017,,,Green leafy vegetables,202,48.28,7.37,2.51,0.75,0.37,2.12
C011,"Betel leaves, small (Piper betle)",ifct2017,,,Green leafy vegetables,183,43.74,6.16,2.62,0.75,0.4,1.97
C012,Brussels sprouts (Brassica oleracea var. gemmifera),ifct2017,ukfct,,Green leafy vegetables,185,44.22,5.09,4.26,0.5,0.17,4.29
C013,"Cabbage, Chinese (Brassica rupa)",ifct2017,ukfct,,Green leafy vegetables,75,17.93,2.36,1.58,0.13,0.42,2.01
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",ifct2017,,,Green leafy vegetables,126,30.11,2.79,3.63,0.27,0.76,2.98
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",ifct2017,ukfct,,Green leafy vegetables,90,21.51,3.25,1.36,0.12,1,2.76
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",ifct2017,,,Green leafy vegetables,97,23.18,3.54,1.39,0.21,0.8,2.21
C017,Cauliflower leaves (Brassica oleracea var. botrytis),ifct2017,,,Green leafy vegetables,148,35.37,3.39,3.9,0.42,0.61,3.43
C018,"Colocasia leaves, green (Colocasia esculenta)",ifct2017,,,Green leafy vegetables,182,43.5,3.69,3.42,1.38,0.63,5.6
C019,Drumstick leaves (Moringa oleifera),ifct2017,ukfct,,Green leafy vegetables,282,67.4,5.62,6.41,1.64,0.02,8.21
C020,Fenugreek leaves (Trigonella foenum graecum),ifct2017,ukfct,,Green leafy vegetables,144,34.42,2.17,3.68,0.83,0.88,4.9
C021,Garden cress (Lepidium sativum),ifct2017,,,Green leafy vegetables,208,49.71,4.48,5.62,0.8,0.92,2.6
C022,"Gogu leaves, green (Hibiscus cannabinus)",ifct2017,,,Green leafy vegetables,152,36.33,4.06,1.86,1.09,0.01,4.59
C023,"Gogu leaves, red (Hibiscus cannabinus)",ifct2017,,,Green leafy vegetables,153,36.57,4.24,1.85,1.07,0.01,3.89
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",ifct2017,,,Green leafy vegetables,178,42.54,6.16,3.12,0.35,0.1,2.76
C025,Lettuce (Lactuca sativa),ifct2017,ukfct,,Green leafy vegetables,91,21.75,3.01,1.54,0.27,0.22,1.79
C026,Mustard leaves (Brassica juncea),ifct2017,ukfct,,Green leafy vegetables,127,30.35,2.41,3.52,0.51,0.04,3.92
C027,Pak Choi leaves (Brassica rapa var. chinensis),ifct2017,,,Green leafy vegetables,67,16.01,1.78,1.41,0.25,0.52,1.91
C028,Parsley (Petroselinum crispum),ifct2017,ukfct,,Green leafy vegetables,305,72.9,9.43,5.55,1.14,0.69,3.87
C029,Ponnaganni (Alternanthera sessilis),ifct2017,,,Green leafy vegetables,213,50.91,5.17,5.29,0.71,0.44,6.74
C030,"Pumpkin leaves, tender (Cucurbita maxima)",ifct2017,,,Green leafy vegetables,185,44.22,4.75,4.21,0.74,0.1,2.25
C031,Radish leaves (Raphanus sativus),ifct2017,,,Green leafy vegetables,109,26.05,2.77,2.22,0.51,0.29,1.82
C032,Rumex leaves (Rumex patientia),ifct2017,,,Green leafy vegetables,82,19.6,2.33,1.62,0.33,0.45,1.27
C033,Spinach (Spinacia oleracea),ifct2017,ukfct,,Green leafy vegetables,102,24.38,2.05,2.14,0.64,0.24,2.38
C034,"Tamarind leaves, tender (Tamarindus indica)",ifct2017,ukfct,,Green leafy vegetables,299,71.46,10.04,5.84,0.49,0.17,10.7
C043,Ambat chuka,ifct2004,,,Green leafy vegetables,62.76,15,1.4,1.6,0.3,0,0.6
C044,Bengal gram leaves,ifct2004,,,Green leafy vegetables,405.85,97,14.1,7,1.4,0,2
C045,Bottle gourd leaves,ifct2004,,,Green leafy vegetables,163.18,39,6.1,2.3,0.7,0,1.3
C046,Broad bean leaves,ifct2004,,,Green leafy vegetables,297.06,71,11.5,5.6,0.3,0,3.7
C047,Carrot leaves,ifct2004,,,Green leafy vegetables,322.17,77,13.1,5.1,0.5,0,1.9
C048,Celery leaves,ifct2004,,,Green leafy vegetables,154.81,37,1.6,6.3,0.6,0,1.4
C049,Chekkur manis,ifct2004,,,Green leafy vegetables,430.95,103,11.6,6.8,3.2,0,1.4
C051,Colocasia leaves (dried),ifct2004,,,Green leafy vegetables,1158.97,277,42.3,13.7,5.9,0,16
C052,Cow pea leaves,ifct2004,,,Green leafy vegetables,158.99,38,4.1,3.4,0.7,0,1.2
C053,Fetid cassia (fresh),ifct2004,,,Green leafy vegetables,205.02,49,5.5,5,0.8,0,2.1
C054,Fetid cassia (dried),ifct2004,,,Green leafy vegetables,1221.73,292,43.5,20.7,3.9,0,10.4
C055,Garden sorrel (sepals),ifct2004,,,Green leafy vegetables,104.6,25,5.1,0.6,0.2,0,1.3
C057,Ipomoea stems,ifct2004,,,Green leafy vegetables,79.5,19,3.4,0.9,0.2,0,0
C058,Ipomoea leaves,ifct2004,,,Green leafy vegetables,117.15,28,3.1,2.9,0.4,0,1.2
C059,Kuppameni,ifct2004,,,Green leafy vegetables,267.78,64,6,6.7,1.4,0,2.3
C060,Manathakkali leaves,ifct2004,,,Green leafy vegetables,284.51,68,8.9,5.9,1,0,0
C061,Mayalu,ifct2004,,,Green leafy vegetables,133.89,32,4.2,2.8,0.4,0,0
C062,Modakonthan keerai,ifct2004,,,Green leafy vegetables,255.22,61,9.1,4.7,0.6,0,0
C063,Mukarrate keerai,ifct2004,,,Green leafy vegetables,255.22,61,7.2,6.1,0.9,0,0
C064,Nerringi,ifct2004,,,Green leafy vegetables,284.51,68,8.6,7.2,0.5,0,0
C065,Paruppu keerai,ifct2004,,,Green leafy vegetables,112.97,27,2.9,2.4,0.6,0,1.3
C066,Rape stem,ifct2004,,,Green leafy vegetables,121.34,29,4,3.1,0.1,0,0
C067,Rape leaves,ifct2004,,,Green leafy vegetables,200.83,48,5.9,5.1,0.4,0,1.2
C068,Rape leaves (dried),ifct2004,,,Green leafy vegetables,1242.65,297,40.7,27,2.9,0,6.7
C069,Safflower leaves,ifct2004,,,Green leafy vegetables,138.07,33,4.5,2.5,0.6,0,0
C070,Shepu,ifct2004,,,Green leafy vegetables,154.81,37,5.2,3,0.5,0,1.1
C071,Spinach stalks,ifct2004,,,Green leafy vegetables,83.68,20,3.8,0.9,0.1,0,0
C072,Susni sag,ifct2004,,,Green leafy vegetables,192.46,46,4.6,3.7,1.4,0,1.3
C073,Turnip greens,ifct2004,,,Green leafy vegetables,280.33,67,9.4,4,1.5,0,1
C074,Ceylon pasali,ifct2004,,,Green leafy vegetables,129.7,31,4.3,1.9,0.7,0,0
C075,Chimti sag,ifct2004,,,Green leafy vegetables,192.46,46,6.9,3.2,0.7,0,2.1
C076,Giria sag,ifct2004,,,Green leafy vegetables,108.78,26,3.6,2,0.4,0,0.9
C077,Gulcharni,ifct2004,,,Green leafy vegetables,112.97,27,4.3,1.3,0.5,0,1
C078,Kasini keerat,ifct2004,,,Green leafy vegetables,138.07,33,4.6,1.9,0.7,0,0
C079,Katha sag,ifct2004,,,Green leafy vegetables,100.42,24,3,1.9,0.5,0,1.7
C080,Kena sag,ifct2004,,,Green leafy vegetables,92.05,22,2.5,2.1,0.4,0,0.8
C081,Khesari leaves,ifct2004,,,Green leafy vegetables,230.12,55,5.5,6.1,1,0,2.1
C082,Koila karha sag,ifct2004,,,Green leafy vegetables,150.62,36,5.2,3,0.4,0,1.4
C083,Konar sag,ifct2004,,,Green leafy vegetables,259.41,62,9.7,3.6,1,0,5.5
C084,Korla leaves,ifct2004,,,Green leafy vegetables,280.33,67,9,6.1,0.7,0,0
C085,Manal keerai,ifct2004,,,Green leafy vegetables,92.05,22,2.3,2.4,0.4,0,2.2
C086,Mata sag (lupu),ifct2004,,,Green leafy vegetables,1267.75,303,57.8,7.2,4.8,0,13.5
C087,Nachukotta keerai,ifct2004,,,Green leafy vegetables,251.04,60,9.1,4.3,0.7,0,0
C088,Neem leaves mature,ifct2004,,,Green leafy vegetables,539.74,129,22.9,7.1,1,0,6.2
C089,Neem leaves tender,ifct2004,,,Green leafy vegetables,661.07,158,21.2,11.6,3,0,2.2
C090,Pacharisi keerai,ifct2004,,,Green leafy vegetables,347.27,83,12.3,4.7,1.7,0,0
C091,Panna keerai,ifct2004,,,Green leafy vegetables,188.28,45,6,3.8,0.6,0,2.3
C092,Parwar sag,ifct2004,,,Green leafy vegetables,230.12,55,5.8,5.4,1.1,0,4.2
C093,Pasarai keerai,ifct2004,,,Green leafy vegetables,175.73,42,7.9,1.7,0.4,0,2.2
C094,Patua sag,ifct2004,,,Green leafy vegetables,263.59,63,8.1,5.1,1.1,0,1.6
C095,Potato leaves,ifct2004,,,Green leafy vegetables,167.36,40,3.6,4.4,0.9,0,1.3
C096,Puliara keerai,ifct2004,,,Green leafy vegetables,251.04,60,7.2,4.3,1.5,0,0
C097,Punnaku keerai,ifct2004,,,Green leafy vegetables,297.06,71,10.1,6.1,0.7,0,0
C098,Perandai,ifct2004,,,Green leafy vegetables,154.81,37,7.3,1.2,0.3,0,1.8
C099,Saravallai keerai,ifct2004,,,Green leafy vegetables,100.42,24,3.2,2,0.4,0,0.9
C100,Sarli sag,ifct2004,,,Green leafy vegetables,359.82,86,14.9,4,1.1,0,1.5
C101,Seemai ponnanganni,ifct2004,,,Green leafy vegetables,209.2,50,7.5,3.3,0.8,0,0
C102,Sinduar sag,ifct2004,,,Green leafy vegetables,158.99,38,5.8,2,0.7,0,1.5
C103,Sinduar wild,ifct2004,,,Green leafy vegetables,121.34,29,4.4,1.1,0.8,0,3.7
C104,Sonchal sag,ifct2004,,,Green leafy vegetables,188.28,45,5.6,4.3,0.6,0,1.2
C105,Soya leaves,ifct2004,,,Green leafy vegetables,301.25,72,10.8,6,0.5,0,0
C106,Sweet potato greens,ifct2004,,,Green leafy vegetables,263.59,63,9.7,4.2,0.8,0,2.4
C107,Thooduvalai keerai,ifct2004,,,Green leafy vegetables,167.36,40,4.6,3.9,0.7,0,2.3
C108,Veethi keerai,ifct2004,,,Green leafy vegetables,376.56,90,13.4,7.5,0.7,0,2.2
C109,Velaikeerai,ifct2004,,,Green leafy vegetables,284.51,68,8.8,6.5,0.8,0,0
C110,Vella keerai,ifct2004,,,Green leafy vegetables,305.43,73,8.3,5.6,1.9,0,0
C111,Water cress,ifct2004,,,Green leafy vegetables,138.07,33,4.9,2.9,0.2,0,0.6
C500,"Broccoli, green, raw",ukfct,,,,146,34,3.2,4.3,0.6,1.9,4
C502,"Watercress, raw",ukfct,,,,43,10,0,1.9,0.3,0,1.5
D001,Ash gourd (Benincasa hispida),ifct2017,ukfct,,Other vegetables,73,17.45,2.84,0.79,0.14,0.19,3.37
D002,"Bamboo shoot, tender (Bambusa vulgaris)",ifct2017,,,Other vegetables,68,16.25,1.67,1.33,0.35,0.09,1.55
D003,"Bean scarlet, tender (Phaseolus coccineus)",ifct2017,,,Other vegetables,179,42.78,5.16,2.86,0.99,1.03,4.5
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",ifct2017,ukfct,,Other vegetables,87,20.79,2.82,1.44,0.24,0.04,3.78
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",ifct2017,ukfct,,Other vegetables,79,18.88,2.53,1.34,0.24,0.06,3.49
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",ifct2017,ukfct,,Other vegetables,81,19.36,2.29,1.61,0.26,0.08,3.72
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",ifct2017,ukfct,,Other vegetables,46,10.99,1.68,0.53,0.13,0.36,2.12
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",ifct2017,ukfct,,Other vegetables,57,13.62,2.53,0.42,0.12,0.34,2.1
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",ifct2017,,,Other vegetables,54,12.91,2.25,0.49,0.13,0.39,2.11
D010,Brinjal-1 (Solanum melongena),ifct2017,,,Other vegetables,114,27.25,3.49,1.77,0.39,0.88,3.57
D011,Brinjal-2 (Solanum melongena),ifct2017,,,Other vegetables,99,23.66,2.71,1.82,0.34,0.98,4.01
D012,Brinjal-3 (Solanum melongena),ifct2017,,,Other vegetables,102,24.38,3.38,1.36,0.33,0.93,4.26
D013,Brinjal-4 (Solanum melongena),ifct2017,,,Other vegetables,100,23.9,3.19,1.51,0.31,0.86,4.04
D014,Brinjal-5 (Solanum melongena),ifct2017,,,Other vegetables,111,26.53,4.02,1.38,0.29,0.99,4.13
D015,Brinjal-6 (Solanum melongena),ifct2017,,,Other vegetables,97,23.18,3.29,1.46,0.29,1,3.68
D016,Brinjal-7 (Solanum melongena),ifct2017,,,Other vegetables,98,23.42,3.1,1.4,0.37,1.38,3.32
D017,Brinjal-8 (Solanum melongena),ifct2017,,,Other vegetables,117,27.96,3.75,1.82,0.33,0.79,4.01
D018,Brinjal-9 (Solanum melongena),ifct2017,,,Other vegetables,106,25.33,3.52,1.47,0.35,0.91,4
D019,Brinjal-10 (Solanum melongena),ifct2017,,,Other vegetables,116,27.72,4.08,1.68,0.25,0.86,3.9
D020,Brinjal-11 (Solanum melongena),ifct2017,,,Other vegetables,105,25.1,3.53,1.43,0.31,1.05,4.12
D021,Brinjal-12 (Solanum melongena),ifct2017,,,Other vegetables,93,22.23,2.73,1.6,0.27,1.22,3.89
D022,Brinjal-13 (Solanum melongena),ifct2017,,,Other vegetables,124,29.64,4.51,1.49,0.31,1.15,3.92
D023,Brinjal-14 (Solanum melongena),ifct2017,,,Other vegetables,106,25.33,3.27,1.56,0.35,0.88,3.87
D024,Brinjal-15 (Solanum melongena),ifct2017,,,Other vegetables,114,27.25,3.96,1.58,0.29,0.82,3.99
D025,Brinjal-16 (Solanum melongena),ifct2017,,,Other vegetables,103,24.62,3.46,1.26,0.34,0.99,3.74
D026,Brinjal-17 (Solanum melongena),ifct2017,,,Other vegetables,91,21.75,2.89,1.18,0.36,0.85,3.94
D027,Brinjal-18 (Solanum melongena),ifct2017,,,Other vegetables,116,27.72,4.1,1.47,0.33,1.44,4.38
D028,Brinjal-19 (Solanum melongena),ifct2017,,,Other vegetables,100,23.9,3.39,1.26,0.31,0.96,3.97
D029,Brinjal-20 (Solanum melongena),ifct2017,,,Other vegetables,99,23.66,3.15,1.44,0.34,0.76,3.73
D030,Brinjal-21 (Solanum melongena),ifct2017,,,Other vegetables,113,27.01,3.93,1.36,0.35,0.93,3.85
D031,Brinjal - all varieties (Solanum melongena),ifct2017,,,Other vegetables,106,25.33,3.52,1.48,0.32,0.97,3.98
D032,Broad beans (Vicia faba),ifct2017,ukfct,,Other vegetables,123,29.4,2.11,3.85,0.15,1.22,8.63
D033,"Capsicum, green (Capsicum annuum)",ifct2017,,,Other vegetables,68,16.25,1.84,1.11,0.34,0.86,2.06
D034,"Capsicum, red (Capsicum annuum)",ifct2017,ukfct,,Other vegetables,83,19.84,2.14,1.47,0.47,0.93,2.19
